lagoslakeid,HU4,lon,lat,random25_holdout,random75_holdout,hu4_ag50_holdout,hu4_strat75_holdout,hu4_random50_holdout,cluster_strat75_holdout,cluster_random50_holdout,tp,tn,chal,secchi,maxdepth_m,IWS_lk_ratio,iws_nlcd2006_for,lake_sdf,lakeconn_v2_1,lakeconn_v2_2,iws_sdf,iws_streamdensity_streams_density_mperha,elevation_m,wlconnections_allwetlands_shoreline%,roaddensity_mperha,baseflow_mean,runoff_mean,totalNdep_19902010_diff,hu4_nlcd2006_agr,totalNdep_1990_mean,prism_ppt_mean,prism_tmean_mean
8170,2,-68.103445,46.106634,0,1,0,1,0,1,0,7,NA,2.7,6.3,11.5824,30.01624812,64.08,1.629683871,1,0,2.064355114,3.1197,175.7220154,3.9624703,17.1873,50.2865,26.0229,2.2685,1.7945,4.2741,1130.3441,4.9599
8171,3,-68.667984,44.229923,0,1,0,0,1,1,1,15,NA,15,2.5,6.096,3.610374902,82.75,1.853514168,0,0,2.345533447,0,26.87000084,2.3492239,28.6713,53.6855,26.4695,1.9867,2.0899,4.5072,1195.1956,6.6209
8172,4,-69.699977,44.064582,0,1,0,1,0,1,0,14,NA,6,3.1,6.4008,8.70527372,75.09,1.416437446,1,0,1.819409672,3.6756,51.70000076,2.84192,10.4704,47.7583,25.2737,2.4415,3.9567,4.5334,1146.4893,5.0186
8173,2,-69.053979,44.541273,0,1,0,0,0,0,0,8,254,3.9,5.62,7.62,5.100743167,88.56,2.305686629,1,0,2.498646889,6.7064,86.69100189,6.6254671,2.6498,50.2865,26.0229,2.2685,1.7945,4.2741,1130.3441,4.9599
8174,3,-69.429003,44.359344,0,1,0,0,1,1,0,10,297,3.4,4.11,40.2336,19.8234668,78.74,3.286465724,0,1,3.178196989,8.461,86.38999939,25.8310293,16.9153,53.6855,26.4695,1.9867,2.0899,4.5072,1195.1956,6.6209
8175,8,-70.675567,43.1781,0,1,0,1,0,1,0,24,NA,7,1.1,2.1336,16.10891446,78.49,2.618220145,0,0,2.06432223,7.4875,48.57699966,3.7736359,28.778,53.7978,25.0599,2.2899,4.7385,5.1076,1215.8701,7.2854
8176,1,-69.146004,46.569944,0,0,0,1,1,1,0,8,NA,5.3,4.1,12.192,11.33172284,66.72,2.065809376,0,1,2.349681126,4.891,341.2010193,12.5844996,6.2407,51.5325,22.633,1.9828,5.7136,3.7653,1058.3433,3.6599
8177,2,-68.817126,45.472856,0,0,0,1,0,1,0,6,223,1.5,8.65,10.9728,4.698423059,91.6,2.911511621,0,1,2.870879183,3.9939,124.8280029,24.9166868,5.3171,50.2865,26.0229,2.2685,1.7945,4.2741,1130.3441,4.9599
8178,2,-68.835593,46.234884,0,0,0,1,0,1,1,13,337,NA,1.9,4.572,3.974688291,87.67,1.261936343,0,0,1.887880785,0,249.147995,NA,21.3521,50.2865,26.0229,2.2685,1.7945,4.2741,1130.3441,4.9599
8179,8,-70.705379,44.179064,0,1,0,1,0,1,0,6,244,4,6.8,12.8016,8.078986027,80.55,1.502731242,0,1,2.037912493,8.3268,150.4100037,7.2689575,34.128,53.7978,25.0599,2.2899,4.7385,5.1076,1215.8701,7.2854
8180,1,-68.047554,46.41652,0,1,0,1,1,1,0,11,NA,6.2,2.4,3.048,9.836783505,83.05,1.264097411,1,0,1.747887239,3.8805,329.9250183,2.8410654,29.3252,51.5325,22.633,1.9828,5.7136,3.7653,1058.3433,3.6599
8182,8,-70.858676,43.758283,0,0,0,1,0,1,0,7,250,2.8,8.06,10.0584,3.319244139,77.66,1.422237964,1,0,2.656741775,1.4978,139.7299957,5.2050865,33.8681,53.7978,25.0599,2.2899,4.7385,5.1076,1215.8701,7.2854
8183,4,-69.812822,45.51555,0,1,0,1,0,1,0,5,329,1.6,7.75,35.9664,12.09578546,65.87,6.194284911,0,1,3.827486382,8.4754,290.9069824,79.2850957,6.1003,47.7583,25.2737,2.4415,3.9567,4.5334,1146.4893,5.0186
8184,3,-68.345413,44.360175,0,1,0,1,1,1,0,6,293,NA,4.95,7.62,14.92828619,76.57,1.907066914,0,1,2.250904651,8.6552,11.63749409,4.3591101,30.0065,53.6855,26.4695,1.9867,2.0899,4.5072,1195.1956,6.6209
8186,2,-69.073938,45.894384,0,1,0,0,0,1,1,NA,NA,NA,4.5,10.0584,11.12784649,91.69,1.380416571,0,0,2.016581606,0.0591,372.9279785,NA,3.6818,50.2865,26.0229,2.2685,1.7945,4.2741,1130.3441,4.9599
8188,3,-69.334974,44.388239,0,1,0,1,1,1,0,5,136,1.4,8.61,19.812,2.130908185,77.62,3.489966139,0,1,3.946573612,2.2632,153.9889984,26.2141882,54.1091,53.6855,26.4695,1.9867,2.0899,4.5072,1195.1956,6.6209
8190,8,-70.93153,44.004819,0,1,0,0,0,1,0,6,257,4.5,4.89,13.716,3.797410915,73.06,1.859666166,1,0,2.802476392,4.6497,108.6690063,14.0138637,40.6162,53.7978,25.0599,2.2899,4.7385,5.1076,1215.8701,7.2854
8192,3,-67.977572,45.039348,0,0,0,1,1,1,0,NA,NA,NA,4.03,8.2296,6.726774405,72.52,1.80452997,1,0,2.2646848,6.4317,114.1090012,13.2383091,12.8553,53.6855,26.4695,1.9867,2.0899,4.5072,1195.1956,6.6209
